participant_code,trials_flagged,displacement_values_flagged,maximum_flags_in_one_trial,trial_count,flagged_trial_percent,continuous_n90_hampel_type_local_high_value,continuous_n90_unaltered_nonzero_primary,integer_n90_hampel_type_local_high_value,integer_n90_unaltered_nonzero_primary,B_hampel_type_local_high_value,B_unaltered_nonzero_primary,W_hampel_type_local_high_value,W_unaltered_nonzero_primary
1,0,0,0,50,0,18.034964791,26.4765775227,19,27,69.09842884,74.5566784135,138.465303472,219.333963984
2,9,9,1,50,18,17.4658110229,25.8591228097,18,26,68.8946656261,74.3458417462,133.700134479,213.613139123
3,24,27,2,50,48,17.8449371736,25.4328427345,18,26,66.3873132074,70.2890147438,131.630825923,198.627717549
4,1,1,1,50,2,19.1561199144,28.2504663729,20,29,64.2218739683,69.2184073166,136.693546541,217.272476476
5,10,10,1,50,20,18.2868891389,26.8186814756,19,27,66.835963704,72.380594455,135.802428749,215.683567523
6,5,5,1,50,10,18.3003382706,26.8332761659,19,27,67.5511629076,73.1707336729,137.356570198,218.156722656
7,6,6,1,50,12,18.3750887047,26.9408808354,19,27,66.7219104258,72.377006402,136.224558069,216.655589411
8,8,8,1,50,16,18.0750610463,26.5322323052,19,27,66.2456886119,71.6606509039,133.043873968,211.257448547
9,6,6,1,50,12,18.124777084,26.6026261942,19,27,67.6622723171,73.143318805,136.262622527,216.200485419
10,4,4,1,50,8,17.8816654314,26.3918697056,18,27,67.5305619635,73.2540665151,134.173212825,214.812419874
11,6,6,1,50,12,19.5928510713,28.788042227,20,29,61.2811492719,66.5309939527,133.408047907,212.810784813
12,8,8,1,50,16,17.5089531789,25.6295408252,18,26,68.3463860757,73.7074880679,132.963741527,209.898786062
13,34,38,2,50,68,17.2285194081,24.443265757,18,25,69.702243361,75.1005943682,133.429605837,203.967087406
14,13,13,1,50,26,18.4952694076,27.3821399626,19,28,64.8990067157,70.0537036352,133.369401499,213.135590871
15,3,3,1,50,6,17.2951454638,25.846562281,18,26,68.9509734435,74.2863503768,132.501901731,213.338531294
16,8,8,1,50,16,17.2627088022,25.652615888,18,26,69.2997907593,74.8425519654,132.922456437,213.323026405
17,9,9,1,50,18,17.045140286,25.3686809617,18,26,69.5510256851,74.966344815,131.722998871,211.310809386
18,31,37,3,50,62,16.6585544955,23.379346998,17,24,69.1313876601,73.3177636721,127.95877652,190.457937556
19,5,5,1,50,10,18.074085753,26.4440631558,19,27,67.6922051404,72.9573790638,135.941635613,214.365504405
20,2,2,1,50,4,17.8421568824,26.3206816495,18,27,69.0697198782,74.4428577369,136.928086432,217.709639953
21,0,0,0,50,0,18.2033198741,26.7485126865,19,27,67.2348963328,72.9654127737,135.988702739,216.857363251
22,4,4,1,50,8,19.4702225844,28.6982845717,20,29,62.3741107543,67.6292081395,134.937535543,215.64914006
23,14,16,2,50,28,17.5516570654,25.6982760715,18,26,69.0722543921,74.4791098086,134.703613536,212.664969491
24,11,11,1,50,22,17.8644788329,26.2721084879,18,27,67.8666601151,73.3205369907,134.711390343,214.031678024
25,8,8,1,50,16,17.657538463,25.9137724747,18,26,69.0073411892,74.5088046247,135.388864586,214.533801156
26,13,13,1,50,26,17.6528956202,25.6340786159,18,26,69.0908324892,74.4996945339,135.51702825,212.192336283
27,17,17,1,50,34,17.3819340342,25.4865759075,18,26,69.1499843333,74.4302317872,133.551162906,210.77463914
28,5,5,1,50,10,18.3288644095,26.885227755,19,27,67.3466685226,72.7729342955,137.154217309,217.390768104
29,28,30,2,50,56,17.4198258496,25.4281708792,18,26,68.9670936606,73.703063422,133.488306769,208.237121223
30,0,0,0,50,0,19.3667590447,28.3112953041,20,29,64.5051136255,69.8333621304,138.806110304,219.674770816
