waveform,action_id,action_code,R_L2_m50_main,required_n_R_L2_90_main,R_L2_m50_exclude_gt200,required_n_R_L2_90_exclude_gt200,R_L2_m50,required_n_R_L2_90,percentile_2_5_finite,percentile_50_finite,percentile_97_5_finite
racket,1,FA,0.987171860852,6,0.989395964379,5,0.987622100015,6,0.988752991157,0.989362434121,0.99029301599
racket,2,FD,0.985102031422,7,0.988493824373,6,0.986058287659,7,0.986471523219,0.98831635114,0.990027905321
racket,3,FP,0.983096440763,8,0.98513645553,7,0.983576159777,8,0.983289460527,0.984163444806,0.985037340422
racket,4,BA,0.964453132894,17,0.966832510313,16,0.965182210485,17,0.96512166036,0.96645729863,0.967808853295
racket,5,BD,0.944737941426,27,0.952200499101,23,0.961617329694,18,0.947655208022,0.950149098919,0.952580121745
racket,6,BP,0.978353469198,10,0.979449015645,10,0.978353671893,10,0.977767597935,0.979591548115,0.981378481772
body_configuration,1,FA,0.988605410276,6,0.990222439725,5,0.989299928402,5,0.989269844069,0.989863532159,0.991682892711
body_configuration,2,FD,0.988094930231,6,0.989937084527,5,0.989721070484,5,0.986733340456,0.988841834789,0.992667631895
body_configuration,3,FP,0.992721176145,4,0.993439511622,3,0.99286140565,4,0.99303990318,0.993311514587,0.993598880959
body_configuration,4,BA,0.986053997144,7,0.986543972957,7,0.986053997144,7,0.986100903589,0.986489776643,0.986943102844
body_configuration,5,BD,0.982734343492,8,0.985565936467,7,0.98273987137,8,0.984789843242,0.985359238493,0.986011981301
body_configuration,6,BP,0.992324874246,4,0.992365660337,4,0.992324874246,4,0.992058701641,0.992590466465,0.993134664643
