participant_code,action_id,action_code,files_in_cell,trial_labels_1_to_50,global_indices_contiguous,first_global_index,last_global_index,chronological_order_verified
1,1,FA,50,True,True,1,50,False
1,2,FD,50,True,True,51,100,False
1,3,FP,50,True,True,101,150,False
1,4,BA,50,True,True,151,200,False
1,5,BD,50,True,True,201,250,False
1,6,BP,50,True,True,251,300,False
2,1,FA,50,True,True,301,350,False
2,2,FD,50,True,True,351,400,False
2,3,FP,50,True,True,401,450,False
2,4,BA,50,True,True,451,500,False
2,5,BD,50,True,True,501,550,False
2,6,BP,50,True,True,551,600,False
3,1,FA,50,True,True,601,650,False
3,2,FD,50,True,True,651,700,False
3,3,FP,50,True,True,701,750,False
3,4,BA,50,True,True,751,800,False
3,5,BD,50,True,True,801,850,False
3,6,BP,50,True,True,851,900,False
4,1,FA,50,True,True,901,950,False
4,2,FD,50,True,True,951,1000,False
4,3,FP,50,True,True,1001,1050,False
4,4,BA,50,True,True,1051,1100,False
4,5,BD,50,True,True,1101,1150,False
4,6,BP,50,True,True,1151,1200,False
5,1,FA,50,True,True,1201,1250,False
5,2,FD,50,True,True,1251,1300,False
5,3,FP,50,True,True,1301,1350,False
5,4,BA,50,True,True,1351,1400,False
5,5,BD,50,True,True,1401,1450,False
5,6,BP,50,True,True,1451,1500,False
6,1,FA,50,True,True,1501,1550,False
6,2,FD,50,True,True,1551,1600,False
6,3,FP,50,True,True,1601,1650,False
6,4,BA,50,True,True,1651,1700,False
6,5,BD,50,True,True,1701,1750,False
6,6,BP,50,True,True,1751,1800,False
7,1,FA,50,True,True,1801,1850,False
7,2,FD,50,True,True,1851,1900,False
7,3,FP,50,True,True,1901,1950,False
7,4,BA,50,True,True,1951,2000,False
7,5,BD,50,True,True,2001,2050,False
7,6,BP,50,True,True,2051,2100,False
8,1,FA,50,True,True,2101,2150,False
8,2,FD,50,True,True,2151,2200,False
8,3,FP,50,True,True,2201,2250,False
8,4,BA,50,True,True,2251,2300,False
8,5,BD,50,True,True,2301,2350,False
8,6,BP,50,True,True,2351,2400,False
9,1,FA,50,True,True,2401,2450,False
9,2,FD,50,True,True,2451,2500,False
9,3,FP,50,True,True,2501,2550,False
9,4,BA,50,True,True,2551,2600,False
9,5,BD,50,True,True,2601,2650,False
9,6,BP,50,True,True,2651,2700,False
10,1,FA,50,True,True,2701,2750,False
10,2,FD,50,True,True,2751,2800,False
10,3,FP,50,True,True,2801,2850,False
10,4,BA,50,True,True,2851,2900,False
10,5,BD,50,True,True,2901,2950,False
10,6,BP,50,True,True,2951,3000,False
11,1,FA,50,True,True,3001,3050,False
11,2,FD,50,True,True,3051,3100,False
11,3,FP,50,True,True,3101,3150,False
11,4,BA,50,True,True,3151,3200,False
11,5,BD,50,True,True,3201,3250,False
11,6,BP,50,True,True,3251,3300,False
12,1,FA,50,True,True,3301,3350,False
12,2,FD,50,True,True,3351,3400,False
12,3,FP,50,True,True,3401,3450,False
12,4,BA,50,True,True,3451,3500,False
12,5,BD,50,True,True,3501,3550,False
12,6,BP,50,True,True,3551,3600,False
13,1,FA,50,True,True,3601,3650,False
13,2,FD,50,True,True,3651,3700,False
13,3,FP,50,True,True,3701,3750,False
13,4,BA,50,True,True,3751,3800,False
13,5,BD,50,True,True,3801,3850,False
13,6,BP,50,True,True,3851,3900,False
14,1,FA,50,True,True,3901,3950,False
14,2,FD,50,True,True,3951,4000,False
14,3,FP,50,True,True,4001,4050,False
14,4,BA,50,True,True,4051,4100,False
14,5,BD,50,True,True,4101,4150,False
14,6,BP,50,True,True,4151,4200,False
15,1,FA,50,True,True,4201,4250,False
15,2,FD,50,True,True,4251,4300,False
15,3,FP,50,True,True,4301,4350,False
15,4,BA,50,True,True,4351,4400,False
15,5,BD,50,True,True,4401,4450,False
15,6,BP,50,True,True,4451,4500,False
16,1,FA,50,True,True,4501,4550,False
16,2,FD,50,True,True,4551,4600,False
16,3,FP,50,True,True,4601,4650,False
16,4,BA,50,True,True,4651,4700,False
16,5,BD,50,True,True,4701,4750,False
16,6,BP,50,True,True,4751,4800,False
17,1,FA,50,True,True,4801,4850,False
17,2,FD,50,True,True,4851,4900,False
17,3,FP,50,True,True,4901,4950,False
17,4,BA,50,True,True,4951,5000,False
17,5,BD,50,True,True,5001,5050,False
17,6,BP,50,True,True,5051,5100,False
18,1,FA,50,True,True,5101,5150,False
18,2,FD,50,True,True,5151,5200,False
18,3,FP,50,True,True,5201,5250,False
18,4,BA,50,True,True,5251,5300,False
18,5,BD,50,True,True,5301,5350,False
18,6,BP,50,True,True,5351,5400,False
19,1,FA,50,True,True,5401,5450,False
19,2,FD,50,True,True,5451,5500,False
19,3,FP,50,True,True,5501,5550,False
19,4,BA,50,True,True,5551,5600,False
19,5,BD,50,True,True,5601,5650,False
19,6,BP,50,True,True,5651,5700,False
20,1,FA,50,True,True,5701,5750,False
20,2,FD,50,True,True,5751,5800,False
20,3,FP,50,True,True,5801,5850,False
20,4,BA,50,True,True,5851,5900,False
20,5,BD,50,True,True,5901,5950,False
20,6,BP,50,True,True,5951,6000,False
21,1,FA,50,True,True,6001,6050,False
21,2,FD,50,True,True,6051,6100,False
21,3,FP,50,True,True,6101,6150,False
21,4,BA,50,True,True,6151,6200,False
21,5,BD,50,True,True,6201,6250,False
21,6,BP,50,True,True,6251,6300,False
22,1,FA,50,True,True,6301,6350,False
22,2,FD,50,True,True,6351,6400,False
22,3,FP,50,True,True,6401,6450,False
22,4,BA,50,True,True,6451,6500,False
22,5,BD,50,True,True,6501,6550,False
22,6,BP,50,True,True,6551,6600,False
23,1,FA,50,True,True,6601,6650,False
23,2,FD,50,True,True,6651,6700,False
23,3,FP,50,True,True,6701,6750,False
23,4,BA,50,True,True,6751,6800,False
23,5,BD,50,True,True,6801,6850,False
23,6,BP,50,True,True,6851,6900,False
24,1,FA,50,True,True,6901,6950,False
24,2,FD,50,True,True,6951,7000,False
24,3,FP,50,True,True,7001,7050,False
24,4,BA,50,True,True,7051,7100,False
24,5,BD,50,True,True,7101,7150,False
24,6,BP,50,True,True,7151,7200,False
25,1,FA,50,True,True,7201,7250,False
25,2,FD,50,True,True,7251,7300,False
25,3,FP,50,True,True,7301,7350,False
25,4,BA,50,True,True,7351,7400,False
25,5,BD,50,True,True,7401,7450,False
25,6,BP,50,True,True,7451,7500,False
26,1,FA,50,True,True,7501,7550,False
26,2,FD,50,True,True,7551,7600,False
26,3,FP,50,True,True,7601,7650,False
26,4,BA,50,True,True,7651,7700,False
26,5,BD,50,True,True,7701,7750,False
26,6,BP,50,True,True,7751,7800,False
27,1,FA,50,True,True,7801,7850,False
27,2,FD,50,True,True,7851,7900,False
27,3,FP,50,True,True,7901,7950,False
27,4,BA,50,True,True,7951,8000,False
27,5,BD,50,True,True,8001,8050,False
27,6,BP,50,True,True,8051,8100,False
28,1,FA,50,True,True,8101,8150,False
28,2,FD,50,True,True,8151,8200,False
28,3,FP,50,True,True,8201,8250,False
28,4,BA,50,True,True,8251,8300,False
28,5,BD,50,True,True,8301,8350,False
28,6,BP,50,True,True,8351,8400,False
29,1,FA,50,True,True,8401,8450,False
29,2,FD,50,True,True,8451,8500,False
29,3,FP,50,True,True,8501,8550,False
29,4,BA,50,True,True,8551,8600,False
29,5,BD,50,True,True,8601,8650,False
29,6,BP,50,True,True,8651,8700,False
30,1,FA,50,True,True,8701,8750,False
30,2,FD,50,True,True,8751,8800,False
30,3,FP,50,True,True,8801,8850,False
30,4,BA,50,True,True,8851,8900,False
30,5,BD,50,True,True,8901,8950,False
30,6,BP,50,True,True,8951,9000,False
