waveform,action_id,action_code,bootstrap_replicates,point_continuous_n90,percentile_p025,percentile_p975,basic_bootstrap_low,basic_bootstrap_high,BCa_bootstrap_low,BCa_bootstrap_high,BCa_bias_correction,BCa_acceleration,BCa_adjusted_lower_probability,BCa_adjusted_upper_probability,p025_monte_carlo_se,p975_monte_carlo_se,up_to_five_equal_blocks_p025_min,up_to_five_equal_blocks_p025_max,up_to_five_equal_blocks_p975_min,up_to_five_equal_blocks_p975_max,B_zero_or_negative_replicates,any_boundary_node_replicates,undefined_n90_replicates,maximum_continuous_n90
body_configuration,1,FA,5000,5.18666529883,3.51803105748,8.94486543895,1.42846515871,6.85529954018,3.12379896294,7.71538875839,-0.192692241463,-0.0685374629503,0.00328475002748,0.91676664427,0.0236668910411,0.0847004057494,3.47910746666,3.54048642214,8.74811637504,9.34707344078,0,0,0,18.7595834688
body_configuration,2,FD,5000,5.42182864424,3.69224727285,8.87732947068,1.9663278178,7.15141001563,3.83600328047,9.77464196046,-0.0416220438702,0.0886936521167,0.040803030248,0.988397314566,0.0214900153266,0.0807659952216,3.61518473859,3.76481226786,8.57839944005,9.1208623924,0,0,0,15.7732230401
body_configuration,3,FP,5000,3.2994871201,2.39946224749,5.21356892088,1.38540531932,4.19951199272,2.24250823406,4.7382738369,-0.18809778171,-0.00994911235943,0.00858448906376,0.939797292909,0.0142087470428,0.0491555245794,2.38053894492,2.41555765313,5.07590897035,5.29354487048,0,0,0,8.33662871271
body_configuration,4,BA,5000,6.36446006333,5.010747727,9.24176396561,3.48715616105,7.71817239966,4.66860949005,8.33274168345,-0.249207859735,-0.0321526658043,0.00430330626058,0.915023317767,0.0205555547332,0.0623734944002,4.97867314621,5.08267783701,9.04254130757,9.47405443631,0,0,0,12.0767462349
body_configuration,5,BD,5000,7.90604854722,6.31215705002,11.0676124957,4.74448459873,9.49994004442,5.85061105039,10.210303556,-0.236299854285,-0.0264172925793,0.0051167483036,0.921068619494,0.0282993330531,0.0684826176045,6.21095915266,6.38485357005,10.9542584901,11.227658159,0,0,0,15.1667439468
body_configuration,6,BP,5000,3.48052001836,2.52462930535,5.33929642548,1.62174361124,4.43641073137,2.37862116388,4.95351566937,-0.18809778171,-0.000456317610449,0.00968669724314,0.943213666791,0.0142756845445,0.0378222245531,2.49004505218,2.56817666768,5.1564044924,5.4759029131,0,0,0,8.08385911733
racket,1,FA,5000,5.84767743661,3.80217401416,10.2944366086,1.40091826457,7.89318085906,3.27904561265,8.87237854525,-0.181468316528,-0.0509845696861,0.00486390770938,0.926354669256,0.0325034587512,0.107097205298,3.76207484121,3.94913110134,10.0972431198,10.4861548485,0,0,0,16.144099338
racket,2,FD,5000,6.80547359163,5.17597745212,10.0388824229,3.57206476034,8.43496973115,4.95113945121,9.46716315914,-0.148941239125,0.00300055874892,0.012397378895,0.952735523831,0.0264746438947,0.076570948042,5.01704478717,5.22609202169,9.70373685186,10.3266788231,0,2,0,13.739134789
racket,3,FP,5000,7.73739110568,5.46514440906,11.5956380653,3.87914414604,10.0096378023,4.75809061776,10.3581614902,-0.238362435438,-0.0709638753503,0.00223441309564,0.902479053964,0.0383270343624,0.0785540462872,5.42472317631,5.51720873044,11.3765338199,11.9034799251,0,0,0,14.8193726116
racket,4,BA,5000,16.5856583926,12.2550711863,26.5346912271,6.63662555813,20.9162455989,11.399712431,24.0877981164,-0.174337792341,-0.0195780499284,0.00815928819559,0.939545937087,0.0594951911183,0.254500535454,12.0598911546,12.4562064563,26.2342121928,27.1927957405,0,0,0,40.2922605034
racket,5,BD,5000,26.3225655154,17.6472709733,43.4766514532,9.16847957772,34.9978600576,16.4735756262,40.037497934,-0.159595149683,-0.0038139748617,0.0108257014489,0.948290084548,0.135043105829,0.427292417226,17.3645420183,18.1778323836,41.6858224227,44.6486593212,0,0,0,65.2335149186
racket,6,BP,5000,9.95646171617,7.86555561547,14.3324904286,5.58043300379,12.0473678169,7.50641485566,13.1739642446,-0.211111841864,-0.00110398168316,0.00848391990489,0.937530709703,0.0341762324915,0.10424567641,7.799465524,7.95415711719,14.0825436349,14.5471153907,0,0,0,20.8491837932
