waveform,action_left,action_left_code,action_right,action_right_code,contrast,continuous_n90_difference_p025,continuous_n90_difference_median,continuous_n90_difference_p975,percentile_interval_excludes_zero,multiplicity_adjusted
body_configuration,1,FA,2,FD,FD minus FA,-4.0085907301,0.0480443975153,4.16219282738,False,False
body_configuration,1,FA,3,FP,FP minus FA,-5.24428539852,-1.94361903745,-0.137920608074,True,False
body_configuration,1,FA,4,BA,BA minus FA,-2.6748726882,1.20558129243,4.45097529716,False,False
body_configuration,1,FA,5,BD,BD minus FA,-1.01291891096,2.73985196442,6.06628355097,False,False
body_configuration,1,FA,6,BP,BP minus FA,-5.10192318811,-1.74036434095,0.145375924762,False,False
body_configuration,2,FD,3,FP,FP minus FD,-5.51067623027,-2.02440131907,0.290057799338,False,False
body_configuration,2,FD,4,BA,BA minus FD,-2.63834904845,1.11047523167,4.31488580596,False,False
body_configuration,2,FD,5,BD,BD minus FD,-1.39586920012,2.76102544255,5.98838191261,False,False
body_configuration,2,FD,6,BP,BP minus FD,-5.45120838983,-1.79119925778,0.517851320227,False,False
body_configuration,3,FP,4,BA,BA minus FP,1.0274364417,3.19748724643,5.68667180646,True,False
body_configuration,3,FP,5,BD,BD minus FP,2.65921129226,4.71433406906,7.56009953888,True,False
body_configuration,3,FP,6,BP,BP minus FP,-1.35728165471,0.176726702452,1.77038302123,False,False
body_configuration,4,BA,5,BD,BD minus BA,-1.72414246202,1.58827371138,4.89415016754,False,False
body_configuration,4,BA,6,BP,BP minus BA,-5.84094272992,-2.95972135253,-0.783720973564,True,False
body_configuration,5,BD,6,BP,BP minus BD,-7.1750968052,-4.5354319732,-2.71904771391,True,False
racket,1,FA,2,FD,FD minus FA,-3.20418414468,0.926197362508,4.1509529205,False,False
racket,1,FA,3,FP,FP minus FA,-2.76825685504,1.97078053775,5.79096365856,False,False
racket,1,FA,4,BA,BA minus FA,5.52551089498,10.9083648168,19.9027544196,True,False
racket,1,FA,5,BD,BD minus FA,11.3187486434,21.0447879461,36.7419426088,True,False
racket,1,FA,6,BP,BP minus FA,-0.489855513751,4.13698113161,8.72937544621,False,False
racket,2,FD,3,FP,FP minus FD,-2.85705921485,1.07101485793,4.96111907403,False,False
racket,2,FD,4,BA,BA minus FD,5.41361209901,10.016977924,19.1239143671,True,False
racket,2,FD,5,BD,BD minus FD,9.99217037943,20.1847729897,36.4664732341,True,False
racket,2,FD,6,BP,BP minus FD,-0.763442669203,3.25645260751,7.62270685933,False,False
racket,3,FP,4,BA,BA minus FP,3.657322704,9.11144598261,17.4861685015,True,False
racket,3,FP,5,BD,BD minus FP,9.34010591504,19.0977218394,34.9469831593,True,False
racket,3,FP,6,BP,BP minus FP,-0.883782898942,2.21864777735,5.74763493099,False,False
racket,4,BA,5,BD,BD minus BA,-4.77903821675,10.0518299367,27.2521307316,False,False
racket,4,BA,6,BP,BP minus BA,-16.1307126543,-6.79358970874,-0.397771101291,True,False
racket,5,BD,6,BP,BP minus BD,-32.3300622568,-16.8106740752,-7.69008263467,True,False
