curve_family,trials_per_cell,context_relative_reliability_all_cells,context_relative_reliability_pooled_fixed_actions,context_relative_reliability_athlete_across_actions
racket,1,0.6169126291169251,0.44339092283006876,0.11621826659166537
racket,2,0.7630747858699716,0.6143739936519879,0.15523735323480603
racket,5,0.8895253806391932,0.7993162807431426,0.19439753621393452
racket,10,0.9415331381664558,0.888466679591221,0.2122444699732535
racket,15,0.9602473546363048,0.9227733377041667,0.2189446415049129
racket,20,0.9698862405775062,0.9409397467193218,0.22245590548548017
racket,30,0.9797205973676364,0.9598357951083077,0.22608162689026742
racket,40,0.9847129449395691,0.9695713102992997,0.22793917239923878
racket,50,0.9877328502328703,0.9755079963234351,0.22906842388567428
body14mean,1,0.8148372990472246,0.6296355042543591,0.36779651232894384
body14mean,2,0.8979728369865528,0.7727316968863528,0.4219903858827529
body14mean,5,0.9565279359770614,0.8947392147217875,0.4629160851967351
body14mean,10,0.977781015428625,0.9444457662245258,0.47838095173003714
body14mean,15,0.9850768176328261,0.9622650656957369,0.48376811189634455
body14mean,20,0.9887657003490046,0.9714292706227841,0.486507449176957
body14mean,30,0.992482314923727,0.9807697059057187,0.48927798612433765
body14mean,40,0.9943511195667625,0.9855076061804692,0.4906751215182835
body14mean,50,0.9954757843027043,0.9883723825420987,0.49151723927284946
