analysis,waveform,action_id,action_label_en,action_label,n_athletes,n_trials_total,min_trials_per_athlete,max_trials_per_athlete,mean_trials_per_athlete,integrated_sigma2_athlete,integrated_sigma2_trial,boundary_nodes,boundary_fraction,R_L2_m1,mean_pointwise_reliability_m1,R_L2_m2,mean_pointwise_reliability_m2,R_L2_m5,mean_pointwise_reliability_m5,R_L2_m10,mean_pointwise_reliability_m10,R_L2_m15,mean_pointwise_reliability_m15,R_L2_m20,mean_pointwise_reliability_m20,R_L2_m30,mean_pointwise_reliability_m30,R_L2_m40,mean_pointwise_reliability_m40,R_L2_m50,mean_pointwise_reliability_m50,required_n_R_L2_80,required_m_pointwise_G80,required_n_R_L2_90,required_m_pointwise_G90
full_balanced_constrained_REML,racket,1,forehand_attack,forehand attack,30,1500,50,50,50,56.5353600142,35.4279755316,0,0,0.614759780935,0.605746743813,0.761425678535,0.750357810277,0.888627967108,0.880438874557,0.941030189729,0.935893742888,0.95989853455,0.956193633231,0.9696193235,0.9667271108,0.979539009422,0.977531144039,0.984575356193,0.983038361256,0.987622100015,0.986377258145,3,3,6,7
full_balanced_constrained_REML,racket,2,forehand_drive,forehand drive,30,1500,50,50,50,182.883996293,129.288303745,0,0,0.585843126604,0.599507219177,0.738841209166,0.739291184607,0.876126015692,0.869467633835,0.933973526686,0.927975641145,0.954991772957,0.950153552655,0.965859680909,0.961866964405,0.976977792098,0.974047152616,0.982633389645,0.980326330584,0.986058287659,0.984157971283,3,3,7,7
full_balanced_constrained_REML,racket,3,forehand_push,forehand push,30,1500,50,50,50,17.4714759608,14.5870112233,0,0,0.544987536701,0.539176132701,0.705491175501,0.693979578441,0.856912076513,0.846205300708,0.922943080991,0.9156524681,0.947274430686,0.941860496027,0.959927613162,0.955637527326,0.972923400789,0.969899231122,0.979554149567,0.97722113757,0.983576159777,0.981677701365,4,4,8,9
full_balanced_constrained_REML,racket,4,backhand_attack,backhand attack,30,1500,50,50,50,26.1721201934,47.2063907806,0,0,0.356672816687,0.41494552282,0.525805208596,0.56949643852,0.73489533171,0.754094311328,0.847192701805,0.855173750208,0.892661077631,0.897167178536,0.917275930093,0.920245269931,0.943286770337,0.944933378799,0.956853331016,0.957943829458,0.965182210485,0.965979632176,8,7,17,16
full_balanced_constrained_REML,racket,5,backhand_drive,backhand drive,30,1500,50,50,50,67.4562894992,134.624888714,0,0,0.33380787907,0.432031125267,0.500533674014,0.594190812017,0.714721167351,0.778063454441,0.833629608078,0.872750992637,0.882574355203,0.910696979982,0.909267176321,0.931190305737,0.93762496314,0.952826080835,0.952477670593,0.964107472328,0.961617329694,0.971033542076,8,6,18,14
full_balanced_constrained_REML,racket,6,backhand_push,backhand push,30,1500,50,50,50,16.4099368272,18.1537048914,0,0,0.474774532175,0.493338460762,0.643860497746,0.652892356993,0.818831428082,0.819866508968,0.900392873622,0.899708650961,0.931314735128,0.930472179292,0.947586034572,0.946786484186,0.964436006404,0.963779519026,0.973087727834,0.972545451072,0.978353671893,0.9778949012,5,5,10,11
full_balanced_constrained_REML,body_configuration,1,forehand_attack,forehand attack,30,1500,50,50,50,1.15351449395,0.623809186696,0,0,0.649017681197,0.625967885707,0.78715672803,0.765430742838,0.902398382662,0.888486876006,0.948695489742,0.94037173309,0.965201893219,0.959291278099,0.9736723821,0.969094229327,0.98229285912,0.979139296417,0.986660593653,0.984255988383,0.989299928402,0.987356947282,3,3,5,6
full_balanced_constrained_REML,body_configuration,2,forehand_drive,forehand drive,30,1500,50,50,50,4.68486698457,2.43277722195,0,0,0.658204716144,0.649883578978,0.793876304579,0.785776741301,0.905914581322,0.900688191944,0.950635028663,0.947512003836,0.966539425678,0.964324240909,0.974692871495,0.972978268507,0.982985047803,0.981804934039,0.987184271098,0.986284831166,0.989721070484,0.988994505713,3,3,5,5
full_balanced_constrained_REML,body_configuration,3,forehand_push,forehand push,30,1500,50,50,50,1.43176940021,0.514715391953,0,0,0.735566702588,0.720741763604,0.847638643322,0.835271884712,0.932923541167,0.925887488902,0.965297924411,0.961302056188,0.976594543636,0.973811534803,0.982342587779,0.980208639461,0.988158696259,0.986703986063,0.991092653545,0.989989315544,0.99286140565,0.991972756301,2,2,4,4
full_balanced_constrained_REML,body_configuration,4,backhand_attack,backhand attack,30,1500,50,50,50,0.647799838555,0.458099577946,0,0,0.585767411474,0.587346357951,0.738780993021,0.73428887043,0.876092145124,0.87056605265,0.933954280871,0.930060562091,0.954978358348,0.952068404281,0.965849389625,0.963538292689,0.976970772357,0.975338991838,0.982628063699,0.98136850205,0.986053997144,0.985028775658,3,3,7,7
full_balanced_constrained_REML,body_configuration,5,backhand_drive,backhand drive,30,1500,50,50,50,1.41031241456,1.23848509623,0,0,0.532434966741,0.557228196483,0.694887519923,0.713178477452,0.850605784144,0.860088717791,0.919272803999,0.924449765282,0.944693626515,0.948246237869,0.957938654769,0.960641583119,0.971560366769,0.973388133703,0.978517536733,0.979898080199,0.98273987137,0.98384897862,4,4,8,8
full_balanced_constrained_REML,body_configuration,6,backhand_push,backhand push,30,1500,50,50,50,1.10118121085,0.425853694245,0,0,0.721123798269,0.694126682988,0.837968540083,0.815405310475,0.928207865406,0.915279822312,0.96276742986,0.955396067426,0.974866356525,0.969724315297,0.981030574701,0.977084461423,0.987273243381,0.984580824287,0.990424466163,0.988381452956,0.992324874246,0.990678938429,2,2,4,5
